date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2024-04-01,20222.33,1,2,12,113,56.1,60.1,183.3,185.1,198.5
2024-04-02,20466.57,2,3,13,119,56.5,60.2,184.1,186.0,198.4
2024-04-03,20337.6,2,2,11,115,55.7,58.9,184.1,185.9,198.1
2024-04-08,20417.7,2,2,11,107,58.3,60.6,184.4,186.3,199.4
2024-04-09,20796.2,2,2,10,99,62.4,63.7,184.0,185.8,197.7
2024-04-10,20763.53,0,1,9,72,66.2,65.9,184.0,185.8,198.8
2024-04-11,20753.22,0,2,7,124,59.1,62.8,183.1,184.9,198.2
2024-04-12,20736.57,0,2,11,119,58.3,61.5,183.7,185.5,197.5
2024-04-15,20449.77,0,2,27,220,48.9,56.7,179.8,181.6,193.2
2024-04-16,19901.96,0,7,70,520,26.6,43.9,174.5,176.3,187.2
2024-04-17,20213.33,0,3,41,348,37.5,49.8,178.2,180.0,190.8
2024-04-18,20301.2,1,4,41,321,41.3,51.8,179.1,180.9,191.1
2024-04-19,19527.12,3,10,111,568,28.6,42.8,173.8,175.5,185.3
2024-04-22,19411.22,6,23,177,616,29.7,42.4,169.5,171.2,180.3
2024-04-23,19599.28,4,13,104,518,34.6,44.6,172.0,173.7,183.4
2024-04-24,20131.74,3,4,36,317,41.4,49.7,177.9,179.6,189.5
2024-04-25,19857.42,3,9,46,358,39.2,47.8,176.3,178.0,188.0
2024-04-26,20120.51,2,5,29,309,42.4,50.2,178.5,180.3,189.7
2024-04-29,20495.52,1,4,13,178,52.5,54.7,181.2,183.0,192.7
2024-04-30,20396.6,1,4,13,156,53.4,55.1,181.4,183.2,193.8
