date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2025-03-03,22756.25,1,5,21,205,53.7,58.8,168.4,170.1,180.4
2025-03-04,22596.88,1,3,20,158,53.8,60.1,169.6,171.3,181.3
2025-03-05,22871.9,0,2,14,122,57.9,64.2,171.5,173.2,183.4
2025-03-06,22715.43,0,1,15,197,51.0,60.9,170.9,172.6,183.7
2025-03-07,22576.07,0,4,30,308,42.7,56.9,168.2,169.9,179.0
2025-03-10,22459.15,1,3,37,340,40.1,55.0,167.2,168.9,177.3
2025-03-11,22071.09,3,9,71,480,32.3,48.5,164.5,166.1,173.4
2025-03-12,22278.36,2,6,60,433,32.7,50.7,165.1,166.7,172.1
2025-03-13,21961.68,1,9,86,585,25.3,45.7,163.1,164.7,169.9
2025-03-14,21968.05,1,8,60,517,29.1,48.6,163.9,165.5,171.0
2025-03-17,22118.63,1,5,54,474,30.9,49.9,164.8,166.5,173.7
2025-03-18,22271.67,1,2,30,364,35.2,52.8,166.5,168.2,175.7
2025-03-19,21960.83,0,5,45,436,32.2,49.8,164.1,165.8,173.0
2025-03-20,22377.26,0,1,16,273,39.4,54.4,166.7,168.4,177.3
2025-03-21,22209.1,0,0,17,274,36.8,52.7,166.4,168.1,177.5
2025-03-24,22106.64,0,0,29,359,33.8,49.8,164.5,166.2,175.9
2025-03-25,22273.19,0,0,23,376,32.1,48.7,165.3,167.0,177.3
2025-03-26,22260.29,0,1,16,265,35.3,50.6,166.1,167.7,178.1
2025-03-27,21951.76,0,0,16,372,30.0,45.5,163.7,165.3,175.3
2025-03-28,21602.89,0,2,83,726,18.4,34.0,159.4,161.0,170.0
2025-03-31,20695.9,4,85,499,1165,8.0,19.1,151.4,152.9,161.1
